Clusters (bin),Age,Clusters,F1,Net Worth Billions
2.6,73,3,0,2
0.0,69,0,1,1.8
0.0,65,0,2,3.3
0.0,59,0,3,7.1
0.9,53,1,4,2.9
0.0,66,0,5,2.5
0.0,65,0,6,1.8
0.0,68,0,7,1.3
2.6,71,3,8,1.1
0.0,63,0,9,1
0.0,63,0,10,1
0.0,63,0,11,4.5
0.9,45,1,12,2.9
0.0,66,0,13,2.1
0.0,54,0,14,1.9
0.9,47,1,15,1.4
0.0,61,0,16,1.2
0.0,59,0,17,1.2
0.0,63,0,18,1
1.7,45,2,19,58.7
3.5,70,4,20,32.3
3.5,48,4,21,30.4
3.5,56,4,22,26
0.0,63,0,23,5.6
3.5,44,4,24,20
3.5,53,4,25,18.8
0.0,60,0,26,4.7
3.5,57,4,27,18.6
3.5,52,4,28,18.5
3.5,74,4,29,17.8
3.5,45,4,30,16.6
0.0,60,0,31,3.4
3.5,75,4,32,15.6
3.5,61,4,33,15.3
3.5,75,4,34,13
3.5,73,4,35,12.6
2.6,78,3,36,12.6
2.6,81,3,37,11.7
0.9,0,1,38,11.5
0.0,61,0,39,10.8
0.9,52,1,40,10.7
0.9,35,1,41,10.5
0.9,36,1,42,10.5
0.0,64,0,43,10.3
0.9,39,1,44,9.1
0.0,69,0,45,9
0.0,61,0,46,9
0.0,65,0,47,9
0.9,48,1,48,9
0.9,48,1,49,8.8
0.0,62,0,50,8.8
2.6,70,3,51,7.8
2.6,75,3,52,7.7
0.0,55,0,53,6.9
0.0,66,0,54,6.6
0.0,65,0,55,6.6
0.9,49,1,56,6.5
2.6,84,3,57,6.4
0.0,64,0,58,6.3
0.0,64,0,59,6.3
0.0,58,0,60,6
2.6,70,3,61,6
2.6,73,3,62,5.9
0.0,68,0,63,5.8
0.0,58,0,64,5.7
0.9,43,1,65,5.6
0.0,66,0,66,5.5
0.9,51,1,67,5.5
2.6,75,3,68,5.4
2.6,72,3,69,5.4
0.0,57,0,70,5.4
0.0,56,0,71,5.3
2.6,90,3,72,5.3
0.9,53,1,73,5.3
2.6,71,3,74,5
2.6,73,3,75,5
0.0,58,0,76,5
2.6,71,3,77,5
0.9,0,1,78,5
2.6,76,3,79,4.9
0.0,60,0,80,4.8
0.9,52,1,81,4.8
0.9,46,1,82,4.7
2.6,71,3,83,4.6
0.0,54,0,84,4.6
0.0,58,0,85,4.5
2.6,77,3,86,4.5
0.9,35,1,87,4.5
0.9,44,1,88,4.5
0.0,56,0,89,4.5
0.9,0,1,90,4.4
0.9,45,1,91,4.3
0.0,63,0,92,4.3
0.9,52,1,93,4.1
0.0,69,0,94,4
0.0,68,0,95,4
0.0,57,0,96,4
0.0,60,0,97,4
0.0,58,0,98,3.8
0.0,64,0,99,3.8
0.0,68,0,100,3.8
2.6,71,3,101,3.8
0.9,43,1,102,3.7
0.0,65,0,103,3.7
0.9,47,1,104,3.7
2.6,78,3,105,3.7
0.9,0,1,106,3.5
0.9,51,1,107,3.5
0.0,58,0,108,3.5
0.9,53,1,109,3.5
0.0,66,0,110,3.5
0.0,70,0,111,3.4
0.0,58,0,112,3.4
0.9,51,1,113,3.4
2.6,72,3,114,3.3
0.0,55,0,115,3.3
0.0,64,0,116,3.3
0.0,59,0,117,3.3
2.6,74,3,118,3.3
2.6,71,3,119,3.3
0.0,64,0,120,3.3
0.0,58,0,121,3.3
0.0,70,0,122,3.2
0.0,65,0,123,3.2
2.6,77,3,124,3.2
0.0,65,0,125,3.2
0.0,61,0,126,3.2
0.0,57,0,127,3.2
2.6,76,3,128,3.1
0.0,61,0,129,3.1
0.9,38,1,130,3.1
0.9,33,1,131,3
0.9,53,1,132,3
0.9,49,1,133,3
2.6,76,3,134,3
2.6,82,3,135,3
0.0,60,0,136,3
0.0,57,0,137,3
0.0,70,0,138,3
0.9,45,1,139,3
0.0,63,0,140,2.9
2.6,73,3,141,2.9
2.6,74,3,142,2.8
2.6,80,3,143,2.8
0.9,53,1,144,2.8
2.6,78,3,145,2.8
0.0,55,0,146,2.8
2.6,75,3,147,2.7
0.0,68,0,148,2.7
0.9,36,1,149,2.7
0.0,55,0,150,2.6
0.0,60,0,151,2.6
2.6,77,3,152,2.5
0.0,70,0,153,2.5
2.6,71,3,154,2.5
0.0,70,0,155,2.5
0.0,60,0,156,2.5
2.6,86,3,157,2.5
0.9,47,1,158,2.5
0.9,0,1,159,2.5
0.0,56,0,160,2.5
0.9,42,1,161,2.4
0.0,63,0,162,2.4
0.9,49,1,163,2.3
0.0,65,0,164,2.3
0.9,0,1,165,2.3
0.0,58,0,166,2.3
0.0,58,0,167,2.3
0.0,61,0,168,2.3
0.9,46,1,169,2.3
0.0,60,0,170,2.3
0.0,63,0,171,2.2
0.0,60,0,172,2.2
0.0,62,0,173,2.2
0.0,65,0,174,2.2
0.0,64,0,175,2.2
0.0,65,0,176,2.2
0.9,49,1,177,2.2
0.0,70,0,178,2.2
0.0,55,0,179,2.2
0.0,59,0,180,2.2
0.9,48,1,181,2.2
2.6,81,3,182,2.1
0.0,57,0,183,2.1
0.0,68,0,184,2.1
2.6,73,3,185,2.1
0.9,0,1,186,2.1
0.0,54,0,187,2.1
0.9,37,1,188,2
0.0,61,0,189,2
0.0,58,0,190,2
0.9,34,1,191,2
0.0,63,0,192,2
0.0,61,0,193,2
0.0,67,0,194,2
0.9,37,1,195,2
0.9,47,1,196,1.9
0.9,0,1,197,1.9
0.0,58,0,198,1.9
0.9,47,1,199,1.9
0.9,53,1,200,1.9
0.0,58,0,201,1.9
2.6,72,3,202,1.9
0.0,57,0,203,1.9
0.0,60,0,204,1.9
0.0,59,0,205,1.9
2.6,77,3,206,1.8
0.0,61,0,207,1.8
2.6,75,3,208,1.8
0.0,65,0,209,1.8
0.9,50,1,210,1.8
0.9,48,1,211,1.8
0.0,62,0,212,1.8
0.9,40,1,213,1.8
0.0,59,0,214,1.8
2.6,72,3,215,1.8
0.0,67,0,216,1.8
0.9,51,1,217,1.8
0.9,51,1,218,1.8
0.9,40,1,219,1.8
0.0,66,0,220,1.7
0.0,63,0,221,1.7
0.9,34,1,222,1.7
2.6,74,3,223,1.7
2.6,71,3,224,1.7
0.9,52,1,225,1.7
0.0,61,0,226,1.7
0.0,60,0,227,1.7
0.0,69,0,228,1.7
0.0,60,0,229,1.7
0.0,66,0,230,1.7
0.0,69,0,231,1.7
0.0,55,0,232,1.7
0.9,50,1,233,1.6
2.6,78,3,234,1.6
2.6,75,3,235,1.6
0.0,64,0,236,1.6
2.6,74,3,237,1.6
0.0,68,0,238,1.6
0.0,59,0,239,1.6
0.9,47,1,240,1.6
2.6,82,3,241,1.6
0.9,34,1,242,1.6
0.0,66,0,243,1.6
0.0,64,0,244,1.5
0.0,54,0,245,1.5
0.0,56,0,246,1.5
0.0,57,0,247,1.5
0.0,62,0,248,1.5
2.6,73,3,249,1.5
0.9,35,1,250,1.5
0.9,44,1,251,1.5
0.9,49,1,252,1.5
0.0,56,0,253,1.5
0.0,68,0,254,1.5
0.0,70,0,255,1.5
0.0,62,0,256,1.5
0.0,65,0,257,1.5
0.9,53,1,258,1.5
0.9,34,1,259,1.4
2.6,71,3,260,1.4
0.0,66,0,261,1.4
0.9,43,1,262,1.4
0.9,42,1,263,1.4
0.9,49,1,264,1.4
2.6,76,3,265,1.4
0.0,62,0,266,1.4
0.0,55,0,267,1.4
0.0,59,0,268,1.4
0.9,44,1,269,1.4
0.0,58,0,270,1.4
0.0,64,0,271,1.4
0.0,64,0,272,1.4
0.0,62,0,273,1.4
0.0,63,0,274,1.4
0.9,51,1,275,1.3
0.9,37,1,276,1.3
0.0,57,0,277,1.3
0.0,61,0,278,1.3
0.0,59,0,279,1.3
0.0,68,0,280,1.3
0.9,46,1,281,1.3
0.0,65,0,282,1.3
0.0,55,0,283,1.3
0.9,0,1,284,1.3
0.0,54,0,285,1.3
2.6,76,3,286,1.3
0.9,51,1,287,1.3
0.0,56,0,288,1.3
2.6,76,3,289,1.3
0.0,56,0,290,1.2
0.0,62,0,291,1.2
2.6,72,3,292,1.2
0.0,56,0,293,1.2
2.6,78,3,294,1.2
2.6,75,3,295,1.2
0.0,69,0,296,1.2
0.0,68,0,297,1.2
0.9,51,1,298,1.2
0.9,0,1,299,1.2
0.0,66,0,300,1.2
0.9,29,1,301,1.2
0.9,37,1,302,1.2
0.9,33,1,303,1.2
0.0,64,0,304,1.2
0.0,58,0,305,1.1
0.0,69,0,306,1.1
2.6,74,3,307,1.1
0.0,56,0,308,1.1
0.9,53,1,309,1.1
0.0,58,0,310,1.1
0.9,33,1,311,1.1
2.6,72,3,312,1.1
0.0,60,0,313,1.1
0.9,52,1,314,1.1
0.0,64,0,315,1.1
2.6,78,3,316,1.1
0.0,60,0,317,1.1
0.0,64,0,318,1.1
0.0,70,0,319,1.1
0.9,0,1,320,1.1
0.9,46,1,321,1.1
2.6,84,3,322,1.1
0.0,58,0,323,1.1
0.0,55,0,324,1.1
0.0,67,0,325,1
0.0,64,0,326,1
0.0,64,0,327,1
0.9,41,1,328,1
0.0,63,0,329,1
0.9,37,1,330,1
0.0,59,0,331,1
0.9,42,1,332,1
0.9,50,1,333,1
0.0,66,0,334,1
0.9,35,1,335,1
2.6,75,3,336,1
0.9,36,1,337,1
0.9,51,1,338,1
0.0,58,0,339,1
0.9,46,1,340,1
0.9,48,1,341,1
0.9,50,1,342,1
0.0,55,0,343,1
0.0,63,0,344,1
0.9,47,1,345,1
2.6,73,3,346,1
0.0,69,0,347,1
2.6,71,3,348,1
0.0,65,0,349,1
0.0,67,0,350,1
2.6,72,3,351,1
2.6,78,3,352,1
0.9,32,1,353,1
1.7,46,2,354,52.8
3.5,71,4,355,35
3.5,49,4,356,25.2
3.5,57,4,357,23.5
3.5,54,4,358,20.8
3.5,53,4,359,20.5
3.5,58,4,360,20.5
3.5,45,4,361,20
3.5,74,4,362,18.4
3.5,79,4,363,14.9
0.9,45,1,364,14.8
3.5,75,4,365,13.4
0.0,62,0,366,11.5
0.9,37,1,367,11.1
0.9,49,1,368,10.7
2.6,82,3,369,10.1
2.6,73,3,370,10
0.9,0,1,371,9.2
0.0,66,0,372,9.1
2.6,70,3,373,9
0.0,63,0,374,9
0.0,65,0,375,9
0.9,40,1,376,8.6
0.9,36,1,377,8.4
2.6,78,3,378,8.1
2.6,75,3,379,7.7
0.0,65,0,380,7.2
0.9,53,1,381,7
2.6,71,3,382,6.9
0.9,50,1,383,6.7
0.0,66,0,384,6.6
0.0,58,0,385,6.5
0.0,56,0,386,6.4
0.9,49,1,387,6.2
2.6,73,3,388,6.1
2.6,84,3,389,5.8
0.0,58,0,390,5.7
0.0,64,0,391,5.7
2.6,71,3,392,5.7
2.6,75,3,393,5.6
0.0,54,0,394,5.6
0.0,68,0,395,5.2
2.6,74,3,396,5.2
0.0,62,0,397,5.1
0.0,56,0,398,5
2.6,91,3,399,5
0.0,66,0,400,5
2.6,72,3,401,5
2.6,74,3,402,5
0.9,51,1,403,5
0.0,66,0,404,4.9
2.6,77,3,405,4.9
0.0,59,0,406,4.8
2.6,71,3,407,4.8
0.9,34,1,408,4.6
0.0,59,0,409,4.4
0.9,36,1,410,4.4
0.0,58,0,411,4.4
0.9,47,1,412,4.3
0.9,47,1,413,4.3
2.6,71,3,414,4.3
0.0,61,0,415,4.3
0.9,0,1,416,4.3
0.0,61,0,417,4.2
0.9,0,1,418,4.1
2.6,79,3,419,4.1
0.0,64,0,420,4.1
0.0,69,0,421,4
0.0,59,0,422,4
0.9,48,1,423,4
0.0,58,0,424,4
2.6,71,3,425,3.9
0.0,69,0,426,3.8
0.0,64,0,427,3.8
0.0,63,0,428,3.8
2.6,76,3,429,3.7
0.9,52,1,430,3.6
2.6,73,3,431,3.6
2.6,76,3,432,3.4
2.6,78,3,433,3.4
0.0,55,0,434,3.4
0.0,65,0,435,3.4
0.9,39,1,436,3.4
0.9,44,1,437,3.3
0.0,56,0,438,3.3
0.0,59,0,439,3.1
0.0,61,0,440,3.1
0.0,66,0,441,3.1
0.0,61,0,442,3.1
0.0,65,0,443,3.1
0.0,54,0,444,3.1
0.0,66,0,445,3.1
0.9,35,1,446,3
0.9,49,1,447,3
2.6,76,3,448,3
2.6,73,3,449,3
2.6,71,3,450,3
2.6,83,3,451,3
0.0,57,0,452,3
2.6,72,3,453,3
0.9,49,1,454,3
2.6,79,3,455,3
0.0,62,0,456,2.9
2.6,77,3,457,2.9
0.0,68,0,458,2.9
2.6,81,3,459,2.8
0.9,52,1,460,2.8
0.9,50,1,461,2.8
2.6,74,3,462,2.8
0.0,61,0,463,2.8
0.0,62,0,464,2.6
2.6,71,3,465,2.6
0.0,61,0,466,2.6
0.0,64,0,467,2.6
0.0,54,0,468,2.5
0.0,70,0,469,2.5
0.9,0,1,470,2.5
0.0,60,0,471,2.5
2.6,86,3,472,2.5
0.9,38,1,473,2.5
0.0,60,0,474,2.5
0.0,66,0,475,2.4
0.0,65,0,476,2.4
0.0,58,0,477,2.4
0.9,52,1,478,2.4
0.9,48,1,479,2.4
0.9,53,1,480,2.4
0.0,56,0,481,2.4
0.0,63,0,482,2.4
2.6,75,3,483,2.3
0.0,65,0,484,2.3
0.0,59,0,485,2.3
0.0,59,0,486,2.3
2.6,71,3,487,2.3
0.0,56,0,488,2.3
2.6,74,3,489,2.3
2.6,82,3,490,2.2
0.0,58,0,491,2.2
0.0,66,0,492,2.2
0.9,37,1,493,2.2
0.0,60,0,494,2.2
0.9,42,1,495,2.2
0.9,37,1,496,2.2
0.0,55,0,497,2.2
0.9,34,1,498,2.1
0.0,65,0,499,2.1
0.0,54,0,500,2.1
0.0,63,0,501,2.1
2.6,71,3,502,2.1
0.0,59,0,503,2.1
0.9,47,1,504,2.1
2.6,78,3,505,2
2.6,76,3,506,2
0.0,61,0,507,2
0.0,56,0,508,2
0.0,64,0,509,2
0.0,62,0,510,2
0.9,0,1,511,2
2.6,73,3,512,2
0.9,0,1,513,2
0.9,48,1,514,1.9
0.0,61,0,515,1.9
0.0,60,0,516,1.9
2.6,78,3,517,1.8
0.9,48,1,518,1.8
0.0,62,0,519,1.8
0.0,62,0,520,1.8
0.0,63,0,521,1.8
0.0,64,0,522,1.8
2.6,73,3,523,1.8
0.0,59,0,524,1.8
0.0,68,0,525,1.8
0.0,64,0,526,1.8
2.6,75,3,527,1.8
0.0,69,0,528,1.8
0.0,66,0,529,1.8
0.9,40,1,530,1.8
0.9,0,1,531,1.8
0.0,69,0,532,1.8
0.0,56,0,533,1.8
0.0,60,0,534,1.8
0.9,50,1,535,1.7
0.0,64,0,536,1.7
2.6,76,3,537,1.7
2.6,75,3,538,1.7
2.6,72,3,539,1.7
0.9,52,1,540,1.7
0.9,52,1,541,1.7
0.0,61,0,542,1.7
2.6,72,3,543,1.7
0.0,70,0,544,1.7
0.0,61,0,545,1.7
0.0,57,0,546,1.7
0.0,57,0,547,1.7
0.0,69,0,548,1.7
0.0,67,0,549,1.7
0.0,67,0,550,1.6
0.0,59,0,551,1.6
0.9,50,1,552,1.6
2.6,75,3,553,1.6
0.0,61,0,554,1.6
2.6,75,3,555,1.6
0.0,60,0,556,1.6
0.0,58,0,557,1.6
0.9,35,1,558,1.6
0.9,46,1,559,1.6
0.0,56,0,560,1.6
0.0,67,0,561,1.6
0.0,56,0,562,1.5
0.0,69,0,563,1.5
0.9,45,1,564,1.5
0.9,38,1,565,1.5
2.6,79,3,566,1.5
0.0,55,0,567,1.5
2.6,71,3,568,1.5
0.0,63,0,569,1.5
0.9,37,1,570,1.5
0.0,59,0,571,1.5
0.0,63,0,572,1.5
0.0,56,0,573,1.5
2.6,82,3,574,1.5
0.0,68,0,575,1.5
0.0,70,0,576,1.5
0.9,44,1,577,1.5
2.6,77,3,578,1.5
0.9,51,1,579,1.4
0.9,51,1,580,1.4
0.9,49,1,581,1.4
0.9,43,1,582,1.4
0.0,64,0,583,1.4
0.9,50,1,584,1.4
0.0,60,0,585,1.4
0.9,35,1,586,1.4
0.0,62,0,587,1.4
0.9,52,1,588,1.4
0.0,61,0,589,1.4
0.0,58,0,590,1.4
0.9,51,1,591,1.4
2.6,77,3,592,1.4
0.0,63,0,593,1.4
0.0,59,0,594,1.4
0.9,18,1,595,1.4
0.0,64,0,596,1.3
0.0,66,0,597,1.3
0.0,62,0,598,1.3
2.6,74,3,599,1.3
2.6,72,3,600,1.3
0.9,45,1,601,1.3
0.0,57,0,602,1.3
0.9,49,1,603,1.3
0.0,58,0,604,1.3
0.0,63,0,605,1.3
0.0,66,0,606,1.3
0.9,45,1,607,1.3
0.9,49,1,608,1.3
0.0,57,0,609,1.3
0.0,54,0,610,1.3
2.6,72,3,611,1.2
0.0,67,0,612,1.2
0.0,64,0,613,1.2
2.6,72,3,614,1.2
0.0,54,0,615,1.2
0.0,68,0,616,1.2
2.6,76,3,617,1.2
